Prompt,Answer,Normal,Normal Correct,Normal Accurate,NA Correct,Normal Fast,NF Correct
"A coffee shop opens at 7:00 AM on weekdays and opens 90 minutes later on weekends; if it opens on Saturday, what time does it open?",8:30 AM,9:30 AM,0,9:30 AM,0,9:30 AM,0
A factory produces 120 units per hour during the day shift and produces 40 fewer units per hour at night; how many units per hour are produced at night?,80,80,1,80,1,80,1
A bus route takes 50 minutes to complete during off-peak hours and takes 20 minutes longer during rush hour; how long does it take during rush hour?,70 minutes,70 minutes,1,70 minutes.,1,70 minutes.,1
A worker earns $20 per hour and receives a $3 per hour increase for overtime; what is their overtime hourly wage?,$23,$23,1,$23,1,$23,1
A library fine is $0.50 per day and increases by $0.25 per day after the first week; what is the daily fine after the first week?,$0.75,$0.75,1,$0.75,1,$0.75,$1.00
A runner trains for 30 minutes per session and increases training time by 10 minutes each week; how long is a session after one increase?,40 minutes,40 minutes,1,40 minutes.,1,40 minutes.,1
A parking garage charges $5 for the first hour and $2 for each additional hour; how much does it charge for two hours?,$7,9,0,9,0,9,0
A subscription costs $40 per month and increases by $5 after the first year; what is the new monthly cost?,$45,$45,1,45,1,45,1
A delivery takes 3 days normally but is delayed by 2 days due to weather; how long does the delivery take?,5 days,5,1,5,1,5,1
A class meets for 75 minutes and extends sessions by 15 minutes during exam weeks; how long is a session during exam week?,90 minutes,90 minutes.,1,90 minutes.,1,90 minutes.,1
A ticket costs $60 and receives a $12 discount; what is the final price?,$48,$48,1,48,1,48,1
A printer produces 25 pages per minute and slows down by 5 pages per minute in eco mode; how many pages per minute in eco mode?,20,20,1,20,1,20,1
A store opens at 9:00 AM and delays opening by 45 minutes due to maintenance; what time does it open?,9:45 AM,9:45 AM.,1,9:45 AM.,1,9:45 AM.,1
A data plan includes 10 GB per month and adds 2 GB as a bonus; how much data is included total?,12 GB,12 GB,1,12 GB,1,12 GB,1
A cyclist rides 18 miles per hour and slows by 3 miles per hour uphill; what is their uphill speed?,15 mph,15 mph,1,15 mph.,1,15 mph.,1
A movie runtime is 110 minutes and includes 15 minutes of previews; what is the total time in the theater?,125 minutes,95,0,95 minutes.,0,125 minutes.,1
A warehouse ships 500 packages per day and increases output by 120 packages; how many packages per day after the increase?,620,620,1,620,1,620,1
A train departs at 2:20 PM and is delayed by 35 minutes; what is the new departure time?,2:55 PM,3:55 PM,0,3:55 PM.,0,3:55 PM,0
A laptop battery lasts 8 hours and loses 90 minutes of capacity over time; how long does it last now?,6.5 hours,7.5 hours,0,7.5 hours,0,7.5 hours,0
A worker completes a task in 4 hours but takes 30 minutes longer due to interruptions; how long does the task take?,4.5 hours,4.5 hours,1,4.5 hours,1,4.5 hours,1
A store opens at 8:00 AM and delays opening by 30 minutes due to weather; what time does it open?,8:30 AM,8:30 AM,1,8:30 AM.,1,8:30 AM.,1
A worker earns $18 per hour and receives a $4 raise; what is the new hourly wage?,$22,$22,1,22,1,22,1
