Prompt,Answer,Normal,Normal Correct,Polite,Polite Correct,Rude,Rude Correct
"A coffee shop opens at 7:00 AM on weekdays and opens 90 minutes later on weekends; if it opens on Saturday, what time does it open?",8:30 AM,9:30 AM,0,9:30 AM,0,9:30 AM,0
A factory produces 120 units per hour during the day shift and produces 40 fewer units per hour at night; how many units per hour are produced at night?,80,80,1,80,1,80 - 40 = 80/2=40,0
A bus route takes 50 minutes to complete during off-peak hours and takes 20 minutes longer during rush hour; how long does it take during rush hour?,70 minutes,70 minutes.,1,110 minutes,0,70 minutes.,1
A worker earns $20 per hour and receives a $3 per hour increase for overtime; what is their overtime hourly wage?,$23,$25,0,$25,0,23,1
A library fine is $0.50 per day and increases by $0.25 per day after the first week; what is the daily fine after the first week?,$0.75,$0.75,1,$0.75,1,1,0
A runner trains for 30 minutes per session and increases training time by 10 minutes each week; how long is a session after one increase?,40 minutes,40 minutes.,1,40 minutes.,1,35,0
A parking garage charges $5 for the first hour and $2 for each additional hour; how much does it charge for two hours?,$7,11,0,9,0,11,0
A subscription costs $40 per month and increases by $5 after the first year; what is the new monthly cost?,$45,$50,0,50,0,50,0
A delivery takes 3 days normally but is delayed by 2 days due to weather; how long does the delivery take?,5 days,5 days.,1,5 days.,1,5 days.,1
A class meets for 75 minutes and extends sessions by 15 minutes during exam weeks; how long is a session during exam week?,90 minutes,90 minutes.,1,90 minutes.,1,90 minutes.,1
A ticket costs $60 and receives a $12 discount; what is the final price?,$48,$48,1,48,1,48,1
A printer produces 25 pages per minute and slows down by 5 pages per minute in eco mode; how many pages per minute in eco mode?,20,20/4 = 5.0,0,20,1,15.75,0
A store opens at 9:00 AM and delays opening by 45 minutes due to maintenance; what time does it open?,9:45 AM,10:15 AM,0,10:15 AM,0,10:15 AM.,0
A data plan includes 10 GB per month and adds 2 GB as a bonus; how much data is included total?,12 GB,12 GB,1,12 GB,1,12 GB.,1
A cyclist rides 18 miles per hour and slows by 3 miles per hour uphill; what is their uphill speed?,15 mph,15 mph,1,15 mph,1,15 mph,1
