Prompt,Answer,Normal,Normal Correct,Normal Accurate,NA Correct,Normal Fast,NF Correct
"The Northside Community Pool operates on a seasonal schedule where it opens at 7:00 AM from Monday through Friday, opens two hours later on Saturdays, and opens one hour later than Saturday on Sundays; if someone plans to swim on a Sunday morning right when the pool opens, what time should they arrive?",10:00 AM,6:00 AM,0,6:59 AM,0,6:59 AM,0
"A university library opens at 8:00 AM on weekdays, opens at 10:00 AM on Saturdays, and remains closed until noon on Sundays; if today is Sunday and a student wants to enter as soon as possible, what time can they do so?",12:00 PM,12:00 PM,0,12:00 PM,1,12:00 PM,1
"The Valley Farmers Market runs from Tuesday to Friday starting at 9:00 AM, starts one hour earlier on Saturdays, and starts two hours later on Mondays than on weekdays; what time does the market open on Monday?",11:00 AM,11:00 AM,1,11:00 AM,1,11:00 AM,1
"A downtown parking garage opens at 6:00 AM on weekdays, opens 90 minutes later on Saturdays, and opens at the same time as Saturdays on Sundays; when does the garage open on Sunday?",7:30 AM,8:30 AM,0,9:30 AM,0,8:30 AM,0
"The Lakeside Jogging Trail officially opens at sunrise on weekdays, opens one hour after sunrise on Saturdays, and opens two hours after sunrise on Sundays; if sunrise is at 6:00 AM, what time does the trail open on Sunday?",8:00 AM,8:00 AM,1,8:00 AM.,1,8:00 AM,1
"A bookstore opens at 9:00 AM Monday through Thursday, opens one hour earlier on Fridays, and opens two hours later on Sundays than on Fridays; what time does it open on Sunday?",10:00 AM,8:00 AM,0,8:00 AM,0,8:00 AM,0
"The City Hall service desk opens at 8:30 AM on weekdays and opens 30 minutes later on weekends; if a resident visits on Saturday, what time does the desk open?",9:00 AM,9:00 AM,1,9:00 AM,1,9:00 AM,1
"A coworking space opens at 7:00 AM on weekdays, shifts its opening time back by one hour each day over the weekend, and then resets on Monday; what time does it open on Sunday?",9:00 AM,8:0.,0,8:0.,0,8:0.,0
"A museum opens at 10:00 AM during the winter season but opens 90 minutes earlier during summer weekdays while keeping the same hours on weekends; if it is a summer Saturday, when does the museum open?",10:00 AM,8:30 AM,0,9:30 AM,0,8:30 AM,0
"The Eastside Clinic schedules its first appointment at 8:00 AM on Mondays, 30 minutes later each weekday, and does not operate on weekends; what time is the first appointment on Friday?",10:00 AM,9:40 AM,0,8:30 AM.,0,8:30 AM,0
